timestamp,RSRP,DL_BLER,DL_MCS,UL_BLER,UL_MCS,UL_NPRB,UL_SNR,TX_Bytes,RX_Bytes,Estimated_UL_Buffer,PRBs_DL_Current,PRBs_UL_Current,PRB_Utilization_DL,PRB_Utilization_UL,UL_Protocol,UL_NumberOfPackets,DL_Protocol,DL_NumberOfPackets
2026-09-02 00:00:00.000,-88.0,0.0091719999999999,7.0,0.1077116,27.0,5.0,21.37,13850.0,322.0,119.65,3.92,0.2,3.698,0.1888,TCP,3.0,TCP,9.0
2026-09-02 00:00:00.100,-88.0,0.00825,7.0,0.0972679999999999,27.0,5.0,19.825,15538.0,276.0,288.04,1.03,0.05,0.9717,0.0472,TCP,12.0,TCP,8.0
2026-09-02 00:00:00.200,-88.0,0.0074546,7.0,0.0874457999999999,27.0,5.0,19.985,12313.0,276.0,467.05,3.92,0.15,3.698,0.1416,TCP,2.0,TCP,8.0
2026-09-02 00:00:00.300,-88.0,0.0067175,7.0,0.0789591999999999,27.0,5.0,21.17,9237.0,322.0,527.45,1.53,0.1,1.4433,0.0944,TCP,3.0,TCP,8.0
2026-09-02 00:00:00.400,-88.0,0.0061124,7.0,0.0705195,27.0,5.0,21.02,9218.0,276.0,498.76,0.89,0.1,0.8395999999999999,0.0944,TCP,3.0,TCP,5.0
2026-09-02 00:00:00.500,-88.0,0.0054832,7.0,0.0640226,27.0,5.0,21.31,10070.0,322.0,438.36,1.62,0.15,1.5282,0.1416,TCP,4.0,TCP,1.0
2026-09-02 00:00:00.600,-88.0,0.0050536,7.0,0.0575571999999999,27.0,5.0,20.88,11462.0,276.0,430.81,2.07,0.05,1.9527,0.0472,TCP,2.0,TCP,12.0
2026-09-02 00:00:00.700,-88.0,0.0045292,7.0,0.052256,27.0,5.0,20.885,9572.0,276.0,495.54,0.94,0.2,0.8867999999999999,0.1888,TCP,3.0,TCP,5.0
2026-09-02 00:00:00.800,-88.0,0.0040732,7.0,0.0474919,27.0,5.0,21.08,9399.0,276.0,411.18,1.35,0.05,1.2735,0.0472,TCP,3.0,TCP,6.0
2026-09-02 00:00:00.900,-88.0,0.003658,7.0,0.042652,27.0,5.0,21.12,12292.0,322.0,397.59,1.8,0.1,1.6980000000000002,0.0944,TCP,4.0,TCP,0.0
2026-09-02 00:00:01.000,-88.0,0.0032945,7.0,0.0387604,27.0,5.0,21.325,9188.0,276.0,535.0,1.54,0.15,1.4528,0.1416,TCP,10.0,TCP,1.0
