timestamp,RSRP,DL_BLER,DL_MCS,UL_BLER,UL_MCS,UL_NPRB,UL_SNR,TX_Bytes,RX_Bytes,Estimated_UL_Buffer,PRBs_DL_Current,PRBs_UL_Current,PRB_Utilization_DL,PRB_Utilization_UL,UL_Protocol,UL_NumberOfPackets,DL_Protocol,DL_NumberOfPackets
2034-12-20 00:00:00.000,-117.0,0.0,7.0,0.0761679999999999,15.0,15.05,19.56,432870.0,3674.0,171.91,63.35,1.49,59.7641,1.4058,TCP,74.0,TCP,193.0
2034-12-20 00:00:00.100,-117.0,0.0,7.0,0.0742246999999999,15.0,15.19,19.79,430069.0,4542.0,193.84,64.41,1.1,60.7641,1.0379,TCP,82.0,TCP,631.0
2034-12-20 00:00:00.200,-117.0,0.0,7.0,0.0722841999999999,15.0,13.99,18.49,445194.0,5483.0,264.65,66.53,1.08,62.7641,1.0191,TCP,52.0,TCP,203.0
2034-12-20 00:00:00.300,-117.0,0.0,7.0,0.0742881999999999,15.0,15.75,18.925,436519.0,4671.0,204.51,64.14,1.69,60.5094,1.5944999999999998,TCP,82.0,TCP,112.0
2034-12-20 00:00:00.400,-117.0,0.0,7.0,0.0746392,15.0,15.73,20.52,432870.0,4723.0,210.15,64.14,1.64,60.5094,1.5472,TCP,72.0,TCP,564.0
2034-12-20 00:00:00.500,-117.0,0.0,7.0,0.0690268,15.0,16.49,19.27,448763.0,4994.0,227.51,66.26,1.77,62.5094,1.67,TCP,82.0,TCP,4.0
2034-12-20 00:00:00.600,-117.0,0.0,7.0,0.0692754999999999,15.0,18.24,20.345,432870.0,5000.0,235.43,62.29,1.22,58.7641,1.151,TCP,74.0,TCP,686.0
2034-12-20 00:00:00.700,-117.0,0.0,7.0,0.0660964,15.0,14.4,19.65,432870.0,4382.0,197.83,64.93,1.57,61.2547,1.4813,TCP,60.0,TCP,92.0
2034-12-20 00:00:00.800,-117.0,0.0,7.0,0.0594216,15.0,16.44,19.75,436519.0,4822.0,219.7,63.62,0.93,60.0188,0.8775,TCP,73.0,TCP,524.0
2034-12-20 00:00:00.900,-117.0,0.0,7.0,0.057051,15.0,16.05,20.92,445114.0,4901.0,225.01,67.32,2.03,63.5094,1.9153,TCP,78.0,TCP,272.0
2034-12-20 00:00:01.000,-117.0,0.0,7.0,0.0566046999999999,15.0,15.43,18.935,429221.0,4542.0,209.07,62.29,0.8,58.7641,0.7547,TCP,77.0,TCP,129.0
2034-12-20 00:00:01.100,-117.0,0.0,7.0,0.0562406,15.0,16.17,19.23,436519.0,4151.0,203.23,63.35,0.81,59.7641,0.7643000000000001,TCP,89.0,TCP,341.0
2034-12-20 00:00:01.200,-117.0,0.0,7.0,0.0558759999999999,15.0,14.84,19.24,440168.0,4632.0,191.09,64.41,1.1,60.7641,1.0378,TCP,61.0,TCP,267.0
2034-12-20 00:00:01.300,-117.0,0.0,7.0,0.0520671999999999,15.0,16.49,21.335,437816.0,4911.0,226.75,66.26,1.6,62.5094,1.5095999999999998,TCP,79.0,TCP,272.0
2034-12-20 00:00:01.400,-117.0,0.0,7.0,0.0503425,15.0,18.09,19.295,441096.0,5550.0,258.78,65.2,1.07,61.5094,1.0094,TCP,86.0,TCP,39.0
2034-12-20 00:00:01.500,-117.0,0.0,7.0,0.0505739999999999,15.0,13.99,19.945,436519.0,3821.0,165.52,64.14,0.43,60.5094,0.4058,TCP,65.0,TCP,608.0
2034-12-20 00:00:01.600,-117.0,0.0,7.0,0.0542981999999999,15.0,15.78,19.005,434167.0,4579.0,231.02,66.26,1.93,62.5094,1.821,TCP,58.0,TCP,267.0
2034-12-20 00:00:01.700,-117.0,0.0,7.0,0.0605968,15.0,18.35,18.67,440168.0,5263.0,243.56,63.35,1.19,59.7641,1.1228,TCP,87.0,TCP,227.0
2034-12-20 00:00:01.800,-117.0,0.0,7.0,0.06154,15.0,12.55,19.745,440168.0,3994.0,172.78,64.14,1.95,60.5094,1.8398,TCP,74.0,TCP,711.0
2034-12-20 00:00:01.900,-117.0,0.0,7.0,0.0606388,15.0,16.11,19.625,429221.0,4780.0,207.07,63.08,0.6,59.5094,0.5660000000000001,TCP,60.0,TCP,197.0
2034-12-20 00:00:02.000,-117.0,0.0,7.0,0.0557188,15.0,15.35,21.16,445114.0,4246.0,207.47,66.53,1.2,62.7641,1.1322,TCP,85.0,TCP,47.0
2034-12-20 00:00:02.100,-117.0,0.0,7.0,0.0544768999999999,15.0,19.56,18.34,440168.0,6266.0,281.41,62.29,0.25,58.7641,0.2359,TCP,67.0,TCP,651.0
2034-12-20 00:00:02.200,-117.0,0.0,7.0,0.0500855,15.81,17.71,18.515,429221.0,4114.0,201.83,63.08,1.17,59.5094,1.1039,TCP,88.0,None,110.0
