timestamp,RSRP,DL_BLER,DL_MCS,UL_BLER,UL_MCS,UL_NPRB,UL_SNR,TX_Bytes,RX_Bytes,Estimated_UL_Buffer,PRBs_DL_Current,PRBs_UL_Current,PRB_Utilization_DL,PRB_Utilization_UL,UL_Protocol,UL_NumberOfPackets,DL_Protocol,DL_NumberOfPackets
2037-03-11 00:00:00.000,-104.0,0.05314,9.0,0.1811849000000001,6.0,17.24,24.34,0.0,76.0,0.0,0.0,0.05,0.0,0.0472,UDP,1,UDP,79.0
2037-03-11 00:00:00.100,-104.0,0.05314,9.0,0.24088739999999995,6.0,9.68,23.76,0.0,76.0,0.0,0.0,0.0,0.0,0.0,UDP,13,UDP,49.0
2037-03-11 00:00:00.200,-104.38709677419355,0.05314,9.0,0.238539,6.0,5.0,23.5,0.0,76.0,0.0,0.0,0.0,0.0,0.0,None,0,UDP,10.0
2037-03-11 00:00:00.300,-105.0,0.049847800000000005,9.0,0.21421890000000005,6.0,7.79,22.345,745.0,430.0,16.44,0.05,0.75,0.0472,0.7075999999999999,UDP,5,UDP,8.0
2037-03-11 00:00:00.400,-105.0,0.047638799999999995,8.92,0.2049646,6.0,5.0,21.045,177.0,181.0,0.0,0.0,0.05,0.0,0.0472,UDP,10,UDP,24.0
2037-03-11 00:00:00.500,-105.0,0.04304999999999999,7.0,0.185978,6.0,5.0,20.5,0.0,149.0,0.0,0.0,0.05,0.0,0.0472,UDP,11,UDP,14.0
2037-03-11 00:00:00.600,-105.0,0.04304999999999999,7.0,0.16721160000000002,6.0,5.0,20.62,0.0,149.0,0.0,0.0,0.0,0.0,0.0,UDP,27,UDP,29.0
2037-03-11 00:00:00.700,-105.0,0.04304999999999999,7.0,0.150339,6.0,5.0,21.37,0.0,149.0,0.0,0.0,0.0,0.0,0.0,UDP,27,UDP,12.0
2037-03-11 00:00:00.800,-105.0,0.04304999999999999,7.0,0.1350256,6.0,5.0,20.5,0.0,149.0,0.0,0.0,0.05,0.0,0.0472,UDP,27,UDP,80.0
2037-03-11 00:00:00.900,-105.0,0.039171,7.0,0.12127810000000001,6.0,44.78,20.055,45350.0,33645.0,2586.2,7.55,26.85,7.122999999999999,25.3302,UDP,10,UDP,32.0
2037-03-11 00:00:01.000,-105.0,0.03514090000000001,7.0,0.10892549999999998,6.0,43.42,20.04,22613.0,17654.0,1019.34,5.85,8.42,5.519,7.9434000000000005,None,0,TCP,15.0
2037-03-11 00:00:01.100,-104.31,0.0315545,7.0,0.09793280000000003,6.0,15.97,20.095,5197.0,4465.0,211.09,0.73,2.07,0.6888000000000001,1.9529999999999998,TCP,18,TCP,15.0
2037-03-11 00:00:01.200,-104.0,0.028993599999999987,7.0,0.08796219999999998,6.0,13.24,21.335,7401.0,2451.0,92.79,1.21,2.24,1.1416,2.1132999999999997,UDP,27,UDP,18.0
2037-03-11 00:00:01.300,-104.0,0.0260686,7.0,0.07900360000000002,6.0,25.79,18.58,9368.0,20780.0,1370.52,4.19,15.67,3.9530000000000003,14.7828,UDP,10,UDP,2.0
2037-03-11 00:00:01.400,-104.0,0.023387999999999996,7.0,0.07102720000000001,6.0,23.87,17.65,9223.0,13176.0,741.89,1.18,7.4,1.1134,6.9812,None,0,TCP,27.0
2037-03-11 00:00:01.500,-104.0,0.0871134,7.0,0.063856,6.0,30.98,18.86,22621.0,20680.0,1213.2,3.06,12.8,2.8869,12.0754,TCP,15,TCP,11.0
2037-03-11 00:00:01.600,-101.0,1.1269459999999996,6.0,0.14777999999999997,13.0,7.35,19.46,36216.0,961.0,20.65,10.05,0.17,9.4812,0.1604,TCP,92,TCP,18.0
2037-03-11 00:00:01.700,-101.0,1.111942,6.0,0.13625159999999997,13.0,10.37,19.71,15159.0,9232.0,426.73,3.1,2.08,2.9245,1.9623,TCP,87,TCP,5.0
2037-03-11 00:00:01.800,-101.0,1.1008573,6.0,0.12900999999999999,13.0,11.28,21.545,58310.0,6651.0,296.54,11.76,1.62,11.0944,1.5282999999999998,TCP,90,TCP,8.0
2037-03-11 00:00:01.900,-101.0,1.0919425,6.0,0.11969999999999999,13.0,5.0,19.065,50674.0,315.0,3.25,9.75,0.0,9.1981,0.0,TCP,82,TCP,5.0
2037-03-11 00:00:02.000,-101.0,1.0822249,6.0,0.10988460000000004,13.0,11.85,19.035,27452.0,2258.0,80.56,6.55,1.06,6.1792,1.0,TCP,77,TCP,16.0
2037-03-11 00:00:02.100,-101.0,1.074161,6.0,0.09868319999999998,12.16,16.18,19.09,90236.0,24565.0,1147.79,14.53,7.42,13.7075,7.0,TCP,102,TCP,1.0
2037-03-11 00:00:02.200,-101.0,1.0640048000000002,6.0,0.09443800000000006,12.0,21.58,16.925,102432.0,35869.0,2863.73,16.96,14.18,16.0,13.3772,TCP,87,TCP,9.0
2037-03-11 00:00:02.300,-101.0,1.0586448,6.0,0.08481560000000003,12.0,22.41,20.435,97663.0,4864.0,239.16,18.56,2.1,17.5094,1.9811,TCP,107,TCP,1.0
2037-03-11 00:00:02.400,-103.0,1.0464075,6.0,0.076175,12.0,24.94,25.41,221248.0,7107.0,329.06,37.73,2.06,35.5943,1.9434,TCP,93,TCP,8.0
2037-03-11 00:00:02.500,-103.0,0.9737279999999999,6.0,0.06841759999999998,12.0,16.82,20.45,231176.0,6563.0,311.54,40.94,2.36,38.622600000000006,2.2264,TCP,102,TCP,6.0
2037-03-11 00:00:02.600,-103.0,0.8779850000000002,6.0,0.061511199999999995,12.0,18.07,19.315,250638.0,8086.0,385.63,46.41,1.6,43.783,1.5095999999999998,TCP,97,TCP,12.0
2037-03-11 00:00:02.700,-102.99,0.7890726999999998,6.0,0.05524799999999997,12.0,40.96,21.375,260634.0,74580.0,9591.18,49.36,28.97,46.5661,27.3304,TCP,93,TCP,21.0
2037-03-11 00:00:02.800,-102.0,0.7144824,6.0,0.04967239999999999,12.36,24.67,17.745,291337.0,8420.0,396.77,46.23,3.05,43.6132,2.8775,TCP,93,TCP,54.0
2037-03-11 00:00:02.900,-102.0,0.6430699999999999,6.0,0.0446106,13.38,29.48,18.42,316249.0,7621.0,380.33,64.31,2.37,60.6696,2.2359,TCP,103,TCP,13.0
2037-03-11 00:00:03.000,-102.0,0.5781329000000002,6.0,0.040109799999999994,14.39,31.0,19.825,341576.0,8930.0,425.11,60.8,3.51,57.35850000000001,3.3112,TCP,105,TCP,13.0
2037-03-11 00:00:03.100,-102.0,0.5191854000000001,6.0,0.04057760000000001,15.41,25.06,20.085,334405.0,7579.0,372.48,59.93,1.49,56.5378,1.4056,TCP,93,TCP,2.0
2037-03-11 00:00:03.200,-102.0,0.46676200000000007,6.0,0.04770040000000002,16.0,30.06,19.82,370110.0,9740.0,444.8,62.75,3.78,59.198100000000004,3.5662000000000003,TCP,88,TCP,21.0
2037-03-11 00:00:03.300,-102.0,0.41917040000000005,6.0,0.05158840000000001,16.0,26.36,19.05,363645.0,8208.0,388.97,60.73,2.05,57.2925,1.9340000000000002,TCP,80,TCP,68.0
2037-03-11 00:00:03.400,-102.0,0.3768364000000001,6.0,0.051691399999999985,16.0,30.71,18.49,382951.0,9835.0,484.96,65.2,1.98,61.5094,1.8679000000000001,TCP,91,TCP,1.0
2037-03-11 00:00:03.500,-101.08,0.33840649999999994,6.0,0.049310099999999996,16.47,31.5,19.29,380903.0,9501.0,497.98,64.41,3.9,60.7641,3.6793,TCP,88,TCP,18.0
2037-03-11 00:00:03.600,-101.0,0.30389869999999986,6.0,0.05653660000000001,17.0,25.15,18.63,383767.0,8199.0,457.46,64.41,2.47,60.7641,2.3303,TCP,75,TCP,1.0
2037-03-11 00:00:03.700,-100.45,0.27320720000000004,6.0,0.06911999999999999,17.0,22.31,19.2,386152.0,9838.0,412.47,63.87,2.9,60.2547,2.7358000000000002,TCP,92,TCP,285.0
2037-03-11 00:00:03.800,-100.0,0.24534480000000003,6.0,0.078766,17.0,15.22,20.745,380903.0,8088.0,373.76,65.47,1.53,61.7641,1.4434,TCP,95,TCP,275.0
2037-03-11 00:00:03.900,-100.0,0.2205684999999999,6.0,0.0810932,17.0,16.67,22.755,386152.0,7855.0,365.92,64.14,1.39,60.5094,1.3115,TCP,96,TCP,240.0
2037-03-11 00:00:04.000,-100.0,0.19806820000000008,6.0,0.07625239999999998,17.0,23.83,20.27,386152.0,6135.0,358.55,63.87,1.06,60.2547,1.0001,TCP,89,TCP,267.0
2037-03-11 00:00:04.100,-100.0,0.17768979999999995,6.0,0.07842579999999999,17.0,25.17,20.11,379750.0,6099.0,398.68,64.14,3.34,60.5094,3.1509000000000005,TCP,89,TCP,259.0
2037-03-11 00:00:04.200,-100.0,0.1595902,6.0,0.09546519999999997,17.0,17.33,22.36,390506.0,5340.0,305.79,64.68,0.82,61.0188,0.7737,TCP,97,TCP,279.0
2037-03-11 00:00:04.300,-100.0,0.143488,6.0,0.10614800000000002,17.0,25.05,17.945,382951.0,6866.0,405.87,63.08,2.42,59.5094,2.283,TCP,100,TCP,238.0
2037-03-11 00:00:04.400,-100.0,0.1288725,6.0,0.12633639999999996,17.0,23.15,21.41,376549.0,5888.0,368.46,62.29,2.09,58.7641,1.9716000000000002,TCP,92,TCP,306.0
2037-03-11 00:00:04.500,-100.0,0.11587040000000001,6.0,0.14096770000000003,17.0,14.17,22.565,386152.0,7229.0,356.36,66.26,2.72,62.5094,2.5661,TCP,82,TCP,269.0
2037-03-11 00:00:04.600,-100.0,0.1040708,6.0,0.13717649999999998,17.0,12.24,22.275,390506.0,5852.0,260.84,65.74,0.48,62.0188,0.45299999999999996,TCP,100,TCP,263.0
2037-03-11 00:00:04.700,-100.0,0.09357039999999998,6.0,0.1378846,17.0,19.7,22.795,376549.0,6808.0,316.26,64.93,2.5,61.2547,2.3586,TCP,82,TCP,322.0
2037-03-11 00:00:04.800,-100.0,0.08413000000000004,6.0,0.1308889,17.0,11.34,21.73,380566.0,7064.0,329.36,62.29,1.18,58.7641,1.1134,TCP,86,TCP,306.0
2037-03-11 00:00:04.900,-100.80434782608695,0.07548550000000001,6.0,0.12567170000000005,17.0,16.34,20.145,386088.0,4666.0,247.38,65.2,1.57,61.5094,1.4812,TCP,105,TCP,297.0
2037-03-11 00:00:05.000,-101.0,0.0678668,6.0,0.1297354,17.0,25.91,18.41,384168.0,7331.0,399.42,63.35,3.19,59.7641,3.0096999999999996,TCP,67,TCP,304.0
2037-03-11 00:00:05.100,-101.0,0.06095960000000001,6.0,0.14229840000000002,17.0,24.4,17.395,382951.0,4828.0,362.79,64.14,2.44,60.5094,2.3018,TCP,102,TCP,306.0
2037-03-11 00:00:05.200,-101.0,0.054811399999999996,6.0,0.15112720000000002,16.26,16.1,18.695,382951.0,7156.0,351.57,64.14,2.63,60.5094,2.4812,TCP,104,TCP,305.0
2037-03-11 00:00:05.300,-101.0,0.049226200000000005,6.19,0.15430000000000002,15.25,20.04,18.25,398313.0,6358.0,300.57,63.62,1.47,60.0188,1.3867000000000003,TCP,91,TCP,308.0
2037-03-11 00:00:05.400,-101.0,0.044258000000000006,7.0,0.1470229,15.0,20.53,18.445,429221.0,5570.0,252.76,63.87,1.39,60.2547,1.3115,TCP,97,TCP,265.0
2037-03-11 00:00:05.500,-101.0,0.039754599999999994,7.0,0.13338340000000004,15.0,19.53,22.77,440168.0,5873.0,289.37,64.41,1.26,60.7641,1.1887,TCP,85,TCP,332.0
2037-03-11 00:00:05.600,-101.0,0.03612230000000001,7.0,0.119784,15.0,22.65,21.04,432870.0,6239.0,338.7,62.81,1.63,59.2547,1.5379000000000003,TCP,98,TCP,315.0
2037-03-11 00:00:05.700,-101.0,0.033725000000000005,7.0,0.11195550000000001,15.0,24.35,21.33,434167.0,5793.0,358.91,64.41,1.26,60.7641,1.1888999999999998,TCP,77,TCP,274.0
