timestamp,RSRP,DL_BLER,DL_MCS,UL_BLER,UL_MCS,UL_NPRB,UL_SNR,TX_Bytes,RX_Bytes,Estimated_UL_Buffer,PRBs_DL_Current,PRBs_UL_Current,PRB_Utilization_DL,PRB_Utilization_UL,UL_Protocol,UL_NumberOfPackets,DL_Protocol,DL_NumberOfPackets
2037-02-25 00:00:00.000,-99.0,0.028239999999999984,3.0,0.033424999999999996,9.0,5.0,21.79,0.0,209.0,0.0,0.0,0.0,0.0,0.0,UDP,6,UDP,17.0
2037-02-25 00:00:00.100,-99.0,0.028239999999999984,3.0,0.0300175,9.0,5.0,16.46,0.0,193.0,0.0,0.0,0.05,0.0,0.0472,TCP,10,TCP,52.0
2037-02-25 00:00:00.200,-97.74193548387096,0.028239999999999984,3.0,0.02698459999999999,9.0,5.0,20.79,0.0,209.0,0.0,0.0,0.0,0.0,0.0,TCP,8,TCP,21.0
2037-02-25 00:00:00.300,-96.0,0.028239999999999984,3.0,0.0242623,9.0,5.0,23.0,0.0,209.0,0.0,0.0,0.0,0.0,0.0,TCP,8,TCP,7.0
2037-02-25 00:00:00.400,-96.0,0.0256456,3.0,0.0236626,9.0,5.0,23.46,80.0,46.0,0.0,0.05,0.05,0.0472,0.0472,TCP,10,TCP,0.0
2037-02-25 00:00:00.500,-96.0,0.02542,3.0,0.021275800000000004,9.0,5.0,21.54,0.0,209.0,0.0,0.0,0.0,0.0,0.0,TCP,69,TCP,0.0
2037-02-25 00:00:00.600,-96.0,0.02542,3.0,0.019103999999999996,9.0,5.0,14.075,0.0,193.0,0.0,0.0,0.05,0.0,0.0472,TCP,125,TCP,0.0
2037-02-25 00:00:00.700,-95.59,0.02542,3.0,0.017176799999999996,9.0,5.0,23.45,0.0,418.0,0.0,0.0,0.0,0.0,0.0,TCP,131,TCP,0.0
2037-02-25 00:00:00.800,-95.0,0.0229054,3.0,0.015559999999999997,9.0,5.0,21.14,160.0,46.0,0.0,0.0,0.05,0.0,0.0472,TCP,155,TCP,0.0
2037-02-25 00:00:00.900,-95.0,0.022879999999999998,3.0,0.015263599999999999,9.0,5.0,21.925,0.0,209.0,0.0,0.0,0.05,0.0,0.0472,TCP,86,TCP,0.0
2037-02-25 00:00:01.000,-95.0,0.021139599999999995,3.0,0.013705999999999998,9.21,9.69,21.32,3248.0,5319.0,245.7,3.48,0.79,3.2832,0.7454,TCP,2,TCP,0.0
2037-02-25 00:00:01.100,-95.0,0.018859599999999994,3.84,0.012310199999999995,10.23,15.19,21.405,15983.0,7234.0,350.65,4.09,2.07,3.8585000000000003,1.9531,TCP,72,TCP,0.0
2037-02-25 00:00:01.200,-95.0,0.017013000000000004,4.82,0.011068800000000004,11.24,12.17,21.125,6672.0,2496.0,97.36,1.24,0.53,1.1699,0.5001,TCP,92,TCP,0.0
2037-02-25 00:00:01.300,-95.0,0.015343999999999998,5.8,0.0099448,12.26,10.82,21.6,2189.0,8192.0,384.94,0.56,2.02,0.5283,1.9058,TCP,109,TCP,0.0
2037-02-25 00:00:01.400,-95.0,0.014004999999999991,6.67,0.009070400000000003,13.13,15.34,21.27,71550.0,6260.0,311.28,10.94,4.53,10.320699999999999,4.2737,TCP,76,TCP,0.0
2037-02-25 00:00:01.500,-95.58064516129032,0.013692000000000005,7.0,0.0081123,14.19,23.51,20.68,433884.0,9422.0,419.95,64.22,3.17,60.5849,2.9905,TCP,54,TCP,0.0
2037-02-25 00:00:01.600,-96.76,0.012762599999999997,7.0,0.0083892,15.21,31.32,19.15,440088.0,9122.0,434.22,62.56,2.67,59.0188,2.5189,UDP,5,TCP,0.0
2037-02-25 00:00:01.700,-97.0,0.011472399999999999,7.0,0.012896099999999997,16.23,31.64,19.58,434247.0,8735.0,616.84,64.41,3.91,60.7641,3.6889,TCP,74,TCP,0.0
2037-02-25 00:00:01.800,-97.4,0.0103064,7.0,0.021509999999999994,17.25,32.77,20.12,288024.0,17437.0,753.55,42.4,3.13,40.0,2.9529,TCP,94,TCP,0.0
2037-02-25 00:00:01.900,-98.0,0.009363299999999996,7.0,0.04389619999999997,18.0,13.29,20.26,37678.0,7624.0,395.67,7.2,0.88,6.7926,0.8303,TCP,68,TCP,0.0
2037-02-25 00:00:02.000,-98.0,0.018176599999999998,7.0,0.07475570000000001,18.0,11.97,21.56,160717.0,3500.0,198.69,24.79,0.63,23.386799999999997,0.5943999999999999,TCP,30,TCP,7.0
2037-02-25 00:00:02.100,-98.0,0.023262400000000006,7.0,0.12129599999999996,18.0,24.65,22.865,440168.0,7981.0,387.06,64.14,1.26,60.5094,1.1887,TCP,11,TCP,7.0
2037-02-25 00:00:02.200,-98.0,0.020892800000000003,7.0,0.12620050000000002,18.0,37.0,19.0,432870.0,8161.0,684.12,63.87,3.49,60.2547,3.2925999999999997,TCP,28,TCP,15.0
2037-02-25 00:00:02.300,-98.0,0.018783499999999998,7.0,0.14969719999999997,17.67,26.54,19.1,436519.0,8720.0,447.62,64.41,3.06,60.7641,2.8869,TCP,18,TCP,8.0
2037-02-25 00:00:02.400,-98.0,0.016867300000000002,7.0,0.16722099999999995,16.65,20.4,19.785,225026.0,9000.0,429.32,33.66,1.32,31.7547,1.2454,TCP,9,TCP,4.0
2037-02-25 00:00:02.500,-98.0,0.015422399999999996,7.0,0.17063519999999996,15.68,15.83,19.735,2181.0,5580.0,306.72,1.15,1.54,1.085,1.453,TCP,17,TCP,243.0
2037-02-25 00:00:02.600,-98.54,0.013749399999999998,7.0,0.17796,14.62,16.61,21.335,401406.0,5868.0,255.95,59.11,2.2,55.7641,2.0756,TCP,3,TCP,394.0
2037-02-25 00:00:02.700,-99.0,0.012361599999999999,7.0,0.15982999999999997,14.0,23.81,18.74,440088.0,6846.0,315.41,65.2,2.29,61.5094,2.1605000000000003,None,0,TCP,216.0
2037-02-25 00:00:02.800,-100.0,0.011098399999999998,7.0,0.1472024,14.0,24.65,21.355,369509.0,32624.0,2062.81,54.99,11.93,51.877399999999994,11.2548,TCP,27,TCP,268.0
2037-02-25 00:00:02.900,-100.0,0.010874600000000002,7.0,0.13999160000000005,14.0,11.7,20.2,124204.0,5636.0,251.42,18.24,0.43,17.2077,0.4058,TCP,66,TCP,32.0
2037-02-25 00:00:03.000,-100.0,0.010374999999999997,7.0,0.12922159999999996,14.0,8.19,20.77,74875.0,1855.0,60.95,11.48,0.54,10.8303,0.5096,TCP,13,TCP,3.0
2037-02-25 00:00:03.100,-100.0,0.012586,7.0,0.1200572,14.0,11.79,22.045,100489.0,3023.0,137.36,18.58,1.39,17.528299999999998,1.3115999999999999,TCP,22,TCP,270.0
2037-02-25 00:00:03.200,-100.26,0.015293999999999999,7.0,0.11547999999999999,14.0,10.95,22.64,89935.0,2833.0,92.5,15.57,0.51,14.688699999999999,0.48129999999999995,TCP,31,TCP,359.0
2037-02-25 00:00:03.300,-101.0,0.014429999999999998,7.0,0.10703920000000004,14.0,8.8,21.75,38767.0,2056.0,65.61,6.57,0.8,6.198199999999999,0.7548,TCP,22,TCP,258.0
2037-02-25 00:00:03.400,-101.0,0.013047600000000003,7.0,0.0961336,14.0,14.98,17.46,85579.0,6198.0,284.73,11.28,3.03,10.6415,2.8586,TCP,12,TCP,221.0
2037-02-25 00:00:03.500,-101.91,0.040828800000000005,7.0,0.09529519999999994,14.0,6.24,16.57,885.0,3619.0,163.34,0.05,0.47,0.0472,0.4435,TCP,24,TCP,25.0
2037-02-25 00:00:03.600,-102.0,0.101892,7.0,0.09531699999999997,14.0,5.0,15.505,45277.0,193.0,0.0,7.03,0.0,6.6321,0.0,TCP,19,TCP,93.0
2037-02-25 00:00:03.700,-102.0,0.17288860000000006,6.38,0.08551600000000004,4.34,11.11,23.42,198852.0,1980.0,1620.1,33.69,11.74,31.783,11.0764,TCP,19,TCP,366.0
2037-02-25 00:00:03.800,-102.77,0.177827,6.0,0.07680160000000001,0.0,40.06,21.31,222203.0,4825.0,317.06,35.73,19.33,33.7075,18.236,TCP,25,TCP,293.0
2037-02-25 00:00:03.900,-103.99,0.16107510000000003,6.0,0.0689776,0.0,29.4,20.315,73484.0,1638.0,146.69,12.78,9.97,12.056600000000001,9.405700000000001,TCP,17,TCP,70.0
2037-02-25 00:00:04.000,-107.08602150537635,0.14558449999999998,6.0,0.065492,0.0,25.69,20.04,82913.0,3036.0,114.44,16.47,5.77,15.5377,5.443300000000001,TCP,12,TCP,113.0
2037-02-25 00:00:04.100,-111.0,0.1314428,6.0,0.06296240000000002,0.0,24.93,19.725,91754.0,3042.0,157.99,15.58,12.57,14.6981,11.8588,TCP,32,TCP,44.0
2037-02-25 00:00:04.200,-111.0,0.117926,6.0,0.056544999999999984,0.0,27.49,18.135,74500.0,2308.0,111.24,14.9,5.33,14.056500000000002,5.0283999999999995,TCP,11,TCP,56.0
2037-02-25 00:00:04.300,-111.0,0.1064704,6.0,0.050782799999999996,0.52,12.58,22.625,78907.0,1913.0,93.85,12.5,5.84,11.7924,5.5098,TCP,32,TCP,79.0
2037-02-25 00:00:04.400,-111.0,0.10706049999999999,6.0,0.04560719999999998,1.54,27.94,18.185,95458.0,3659.0,205.68,16.79,5.89,15.8397,5.556699999999999,TCP,15,TCP,46.0
2037-02-25 00:00:04.500,-111.0,0.12716069999999996,6.0,0.0409596,2.56,17.18,18.2,76549.0,2737.0,125.12,15.35,1.07,14.481200000000001,1.0095999999999998,TCP,17,TCP,25.0
2037-02-25 00:00:04.600,-111.93,0.13638879999999998,6.0,0.036788,3.58,12.01,20.79,73342.0,2246.0,102.75,12.84,1.05,12.1131,0.9908,None,0,TCP,2.0
2037-02-25 00:00:04.700,-112.0,0.1221154,6.0,0.03303799999999999,4.6,16.62,21.95,86868.0,1780.0,75.87,16.29,0.8,15.368,0.7549000000000001,TCP,44,TCP,130.0
2037-02-25 00:00:04.800,-112.0,0.1112723,6.0,0.029670799999999997,5.62,10.63,19.645,126181.0,2014.0,103.15,24.31,1.12,22.9338,1.0567,TCP,25,TCP,64.0
2037-02-25 00:00:04.900,-112.0,0.10065320000000001,6.0,0.026645999999999996,6.64,18.14,19.48,10856.0,4730.0,221.65,3.03,2.26,2.8585000000000003,2.1322,TCP,19,TCP,120.0
2037-02-25 00:00:05.000,-112.0,0.09206000000000002,6.0,0.023930400000000008,7.66,18.92,21.94,125534.0,3666.0,168.71,21.69,1.66,20.4623,1.5661,TCP,34,TCP,51.0
2037-02-25 00:00:05.100,-112.0,0.0834119,6.0,0.0214892,8.68,18.06,19.265,97949.0,3659.0,179.88,16.94,1.14,15.9811,1.0756,TCP,6,TCP,57.0
2037-02-25 00:00:05.200,-112.0,0.07457,6.0,0.019301000000000002,9.7,9.68,17.97,69491.0,3112.0,120.62,14.33,0.61,13.5188,0.5756999999999999,TCP,25,TCP,63.0
2037-02-25 00:00:05.300,-112.0,0.07360039999999997,6.0,0.017352299999999994,10.71,15.22,19.56,93147.0,3023.0,126.75,14.89,2.2,14.0471,2.0757,TCP,11,TCP,52.0
2037-02-25 00:00:05.400,-112.0,0.07406220000000001,6.0,0.015583600000000005,11.73,13.84,19.875,35448.0,7669.0,390.53,5.72,2.69,5.3963,2.5378,TCP,24,TCP,55.0
2037-02-25 00:00:05.500,-112.0,0.06706050000000002,6.0,0.0148884,12.16,5.36,36.555,83268.0,497.0,27.4,16.32,0.15,15.396199999999999,0.1416,TCP,9,TCP,66.0
2037-02-25 00:00:05.600,-112.0,0.060086699999999986,6.0,0.013375199999999992,13.18,21.55,19.81,127475.0,5386.0,230.19,21.95,1.38,20.7075,1.3021,TCP,5,TCP,54.0
2037-02-25 00:00:05.700,-112.94,0.12379,6.0,0.0132936,14.19,11.09,21.795,130240.0,2307.0,95.22,22.76,0.73,21.471799999999998,0.6888,TCP,21,TCP,51.0
2037-02-25 00:00:05.800,-113.0,0.1529646,6.0,0.0238168,15.0,10.24,20.695,99167.0,2495.0,129.49,15.9,0.45,15.0,0.42460000000000003,TCP,47,TCP,60.0
2037-02-25 00:00:05.900,-113.0,0.20551960000000002,6.0,0.05592079999999999,15.0,11.36,21.665,105685.0,3235.0,129.69,19.22,0.69,18.1319,0.6511999999999999,TCP,9,TCP,60.0
2037-02-25 00:00:06.000,-113.0,0.19616799999999987,6.0,0.05984999999999999,15.0,8.52,17.88,83007.0,2096.0,73.12,17.83,1.17,16.8207,1.104,TCP,17,TCP,37.0
2037-02-25 00:00:06.100,-113.0,0.17824219999999996,6.0,0.0712334,15.0,10.59,23.565,80803.0,3183.0,125.2,16.07,1.25,15.1603,1.1793,TCP,33,TCP,87.0
2037-02-25 00:00:06.200,-113.0,0.158894,6.0,0.0698648,15.0,9.49,23.555,79942.0,2228.0,84.85,16.4,0.25,15.4715,0.236,TCP,23,TCP,56.0
2037-02-25 00:00:06.300,-113.0,0.14939219999999998,6.0,0.07128000000000002,15.0,6.75,24.09,72466.0,1441.0,41.24,14.03,0.25,13.2357,0.236,TCP,32,TCP,59.0
2037-02-25 00:00:06.400,-113.0,0.13798719999999992,6.0,0.08297999999999998,15.0,8.99,21.415,80892.0,823.0,31.4,11.69,0.52,11.0282,0.49060000000000004,TCP,23,TCP,60.0
2037-02-25 00:00:06.500,-113.6236559139785,0.1553582,6.0,0.07700399999999998,15.0,21.83,24.97,67552.0,2920.0,247.67,13.2,1.93,12.4528,1.8207,TCP,18,TCP,33.0
2037-02-25 00:00:06.600,-115.0,0.23966359999999998,6.0,0.08956899999999997,15.0,18.73,37.02,94157.0,7046.0,332.24,12.1,0.42,11.4151,0.39630000000000004,TCP,11,TCP,1.0
2037-02-25 00:00:06.700,-115.0,0.29064999999999996,6.0,0.1128799,15.0,12.46,23.48,72193.0,3278.0,128.75,14.79,0.35,13.9529,0.33039999999999997,None,0,TCP,190.0
2037-02-25 00:00:06.800,-115.0,0.27030799999999994,6.0,0.10549,15.0,5.0,15.22,46033.0,228.0,2.46,6.13,0.15,5.7829999999999995,0.1416,TCP,13,TCP,24.0
2037-02-25 00:00:06.900,-115.0,0.3044659999999999,6.0,0.11390050000000006,15.0,19.4,17.06,85621.0,4678.0,255.64,17.01,2.78,16.0472,2.6227,TCP,24,TCP,83.0
2037-02-25 00:00:07.000,-115.0,0.36675359999999985,6.0,0.13292160000000006,15.0,9.58,20.425,96030.0,2670.0,108.58,15.9,0.81,15.0,0.7643,TCP,29,TCP,58.0
2037-02-25 00:00:07.100,-115.0,0.43728720000000015,6.0,0.1385874,15.0,9.76,18.805,99231.0,2249.0,117.56,15.9,0.85,15.0,0.8019,TCP,26,TCP,27.0
2037-02-25 00:00:07.200,-115.0,0.4959580000000002,6.0,0.14943450000000008,15.0,8.95,27.105,111939.0,2203.0,96.27,17.08,0.9,16.1132,0.8492000000000001,TCP,35,TCP,79.0
2037-02-25 00:00:07.300,-115.0,0.5061887,6.0,0.14758999999999994,15.0,8.42,30.015,46676.0,2588.0,107.18,8.1,0.65,7.6414,0.6133,TCP,17,TCP,65.0
2037-02-25 00:00:07.400,-115.0,0.4679559999999998,6.0,0.13915999999999998,15.0,14.02,18.59,35376.0,4736.0,266.92,6.3,0.54,5.9435,0.5096,TCP,37,TCP,45.0
2037-02-25 00:00:07.500,-115.0,0.48912679999999986,6.0,0.14861999999999997,15.0,6.92,17.87,5941.0,3523.0,134.96,2.09,1.38,1.9717000000000002,1.3019999999999998,TCP,30,TCP,50.0
2037-02-25 00:00:07.600,-115.0,0.5419733000000001,6.0,0.15649279999999996,14.48,36.39,16.255,92495.0,1266.0,51.9,16.0,0.05,15.0943,0.0472,TCP,24,TCP,59.0
2037-02-25 00:00:07.700,-115.0,0.586043,6.0,0.15491480000000002,13.46,51.46,15.81,81066.0,4482.0,184.64,14.0,0.18,13.2074,0.16979999999999998,TCP,28,TCP,59.0
2037-02-25 00:00:07.800,-115.76344086021506,0.6263893999999998,6.0,0.14207720000000001,13.0,6.2,19.2,99072.0,3763.0,158.91,14.84,0.76,14.0,0.7170000000000001,TCP,34,TCP,57.0
2037-02-25 00:00:07.900,-116.0,0.662776,6.0,0.12760739999999998,13.0,9.65,22.89,92829.0,2149.0,90.99,16.96,0.59,16.0,0.5567,TCP,21,TCP,51.0
2037-02-25 00:00:08.000,-116.0,0.6706550000000001,6.0,0.11671200000000002,13.0,11.76,22.695,136511.0,3080.0,119.65,22.74,1.05,21.4525,0.9906,TCP,17,TCP,55.0
2037-02-25 00:00:08.100,-116.0,0.6410005999999998,6.0,0.1126444,13.0,11.11,17.085,98080.0,2166.0,104.89,16.8,1.31,15.849,1.2358,TCP,42,TCP,61.0
2037-02-25 00:00:08.200,-115.22,0.6499351,6.0,0.10770820000000005,13.0,7.05,17.9,131699.0,5891.0,275.04,22.8,1.72,21.5094,1.6227,TCP,16,TCP,60.0
