timestamp,RSRP,DL_BLER,DL_MCS,UL_BLER,UL_MCS,UL_NPRB,UL_SNR,TX_Bytes,RX_Bytes,Estimated_UL_Buffer,PRBs_DL_Current,PRBs_UL_Current,PRB_Utilization_DL,PRB_Utilization_UL,UL_Protocol,UL_NumberOfPackets,DL_Protocol,DL_NumberOfPackets
2037-02-11 00:00:00.000,-106.0,0.043888399999999994,1.62,0.0500805,9.85,53.34,19.1,3047.0,60836.0,2872.18,0.99,13.96,0.9339,13.1699,UDP,55,UDP,9.0
2037-02-11 00:00:00.100,-106.0,0.039247199999999996,2.68,0.04502020000000002,10.86,45.34,18.41,1386.0,56453.0,2794.25,0.79,12.58,0.7453,11.8682,UDP,3,UDP,22.0
2037-02-11 00:00:00.200,-106.0,0.035284899999999994,3.69,0.04043159999999999,11.88,52.79,18.42,816.0,70406.0,5243.47,0.18,21.78,0.1699,20.547600000000003,UDP,79,UDP,28.0
2037-02-11 00:00:00.300,-106.0,0.04231419999999998,4.0,0.036907499999999996,12.75,16.74,17.945,4641.0,7042.0,339.83,1.13,2.31,1.0659999999999998,2.1793,UDP,33,UDP,70.0
2037-02-11 00:00:00.400,-106.0,0.054641699999999994,4.0,0.033002100000000006,13.81,25.28,18.455,1467.0,42760.0,2250.96,0.19,11.11,0.1793,10.480699999999999,UDP,6,UDP,27.0
2037-02-11 00:00:00.500,-106.0,0.0489276,4.24,0.029671400000000004,14.82,33.0,21.2,7268.0,69350.0,3429.62,3.25,16.2,3.0662000000000003,15.2824,UDP,10,UDP,33.0
2037-02-11 00:00:00.600,-106.0,0.043902300000000005,5.27,0.026791100000000005,15.79,15.56,22.32,2254.0,11941.0,628.94,0.37,1.25,0.34909999999999997,1.1794,UDP,1,UDP,32.0
2037-02-11 00:00:00.700,-106.0,0.0394704,6.28,0.02842400000000001,16.85,22.53,21.835,4339.0,30494.0,1519.79,1.08,4.26,1.0190000000000001,4.0191,TCP,6,TCP,44.0
2037-02-11 00:00:00.800,-106.0,0.03544500000000001,7.0,0.03192590000000001,17.87,21.08,21.03,2655.0,53974.0,2806.0,0.3,12.43,0.2832,11.726600000000001,TCP,3,TCP,13.0
2037-02-11 00:00:00.900,-106.0,0.032889999999999996,7.0,0.0344492,18.78,7.51,19.48,1394.0,3213.0,34.08,0.35,0.2,0.33020000000000005,0.1888,TCP,6,TCP,10.0
2037-02-11 00:00:01.000,-106.0,0.03957999999999999,7.0,0.04575499999999999,19.0,9.43,21.815,1062.0,6237.0,600.64,0.15,2.48,0.1416,2.3398,TCP,1,TCP,2.0
2037-02-11 00:00:01.100,-106.0,0.04386240000000001,7.0,0.08849449999999998,19.0,19.79,26.77,1239.0,61806.0,13180.2,0.05,19.81,0.0472,18.6888,UDP,6,UDP,13.0
2037-02-11 00:00:01.200,-106.0,0.039227200000000004,7.0,0.11862400000000001,19.0,49.34,20.36,70147.0,87301.0,6628.94,13.21,18.18,12.4624,17.151200000000003,UDP,17,UDP,11.0
2037-02-11 00:00:01.300,-106.0,0.035529999999999985,7.0,0.15082860000000006,18.38,14.79,18.18,3126.0,3408.0,137.86,0.15,0.52,0.1416,0.49060000000000004,UDP,1,None,9.0
2037-02-11 00:00:01.400,-105.67,0.031708,7.0,0.21478159999999996,17.32,44.93,18.515,169662.0,40795.0,3826.26,30.5,12.7,28.7735,11.9811,None,0,None,12.0
2037-02-11 00:00:01.500,-105.0,0.028627200000000005,7.0,0.2378898999999999,16.31,25.26,19.81,93981.0,17546.0,851.77,13.62,1.87,12.849300000000001,1.7641,TCP,1,None,6.0
2037-02-11 00:00:01.600,-105.0,0.025654699999999996,7.0,0.22572989999999998,15.29,8.05,21.315,1480.0,5095.0,228.85,0.22,1.4,0.20759999999999998,1.3208000000000002,TCP,8,UDP,6.0
2037-02-11 00:00:01.700,-105.0,0.02299100000000001,7.0,0.20454400000000003,14.28,18.29,21.81,5962.0,15983.0,778.54,1.0,2.77,0.9434999999999999,2.6132,TCP,8,TCP,0.0
2037-02-11 00:00:01.800,-105.0,0.021113399999999997,7.0,0.18780280000000005,13.26,5.05,22.945,354.0,434.0,5.27,0.05,0.21,0.0472,0.19820000000000002,TCP,6,TCP,2.0
2037-02-11 00:00:01.900,-104.39,0.0190245,7.0,0.17028249999999998,12.25,20.82,21.915,1540.0,4908.0,224.76,0.66,0.85,0.6228,0.8020999999999999,TCP,6,TCP,31.0
2037-02-11 00:00:02.000,-104.0,0.017048000000000004,7.0,0.15292110000000003,12.0,6.83,20.285,3190.0,1035.0,26.75,0.45,0.38,0.42460000000000003,0.3586,None,0,None,58.0
2037-02-11 00:00:02.100,-104.0,0.023358800000000002,7.0,0.13748020000000005,12.0,23.95,18.575,1894.0,3119.0,135.16,0.71,0.64,0.67,0.6039999999999999,TCP,2,TCP,6.0
2037-02-11 00:00:02.200,-104.0,0.030378799999999997,7.0,0.12359819999999995,12.0,5.4,17.735,1362.0,712.0,12.3,0.39,0.0,0.368,0.0,TCP,9,TCP,189.0
2037-02-11 00:00:02.300,-104.0,0.027198899999999995,7.0,0.11099520000000003,12.0,8.86,21.36,6598.0,10447.0,717.64,1.33,3.15,1.2547,2.972,None,0,None,50.0
2037-02-11 00:00:02.400,-104.0,0.02465280000000001,7.0,0.09978660000000002,12.0,8.07,21.185,13125.0,10566.0,338.56,3.54,1.8,3.3398000000000003,1.6983,TCP,6,TCP,5.0
2037-02-11 00:00:02.500,-104.0,0.022730000000000007,7.0,0.09783,12.0,5.0,19.405,177.0,171.0,1.37,0.0,0.1,0.0,0.0944,None,0,None,11.0
2037-02-11 00:00:02.600,-104.0,0.022730000000000007,7.0,0.08853900000000003,12.0,5.0,22.65,0.0,209.0,0.0,0.0,0.05,0.0,0.0472,UDP,1,None,1.0
